ID_Incidente,Fecha,Area,Tipo_Incidente,Severidad,Dias_Incapacidad,Causa_Raiz
INC-0096,2024-10-17,Logística/Bodega,Incapacidad Común,Grave,22,Acto inseguro (No uso de EPP)
INC-0062,2024-10-18,Operaciones/Planta,Accidente de Trabajo,Leve,1,Acto inseguro (No uso de EPP)
INC-0035,2024-10-21,Operaciones/Planta,Accidente de Trabajo,Leve,3,Acto inseguro (No uso de EPP)
INC-0135,2024-10-23,Operaciones/Planta,Accidente de Trabajo,Moderado,11,Fatiga / Factor humano
INC-0335,2024-10-23,Mantenimiento,Enfermedad Laboral,Moderado,12,Peligro locativo / Desorden
INC-0311,2024-10-26,Operaciones/Planta,Accidente de Trabajo,Leve,3,Peligro locativo / Desorden
INC-0120,2024-10-28,Logística/Bodega,Accidente de Trabajo,Leve,1,Acto inseguro (No uso de EPP)
INC-0414,2024-11-02,Logística/Bodega,Enfermedad Laboral,Leve,2,Peligro locativo / Desorden
INC-0325,2024-11-03,Operaciones/Planta,Accidente de Trabajo,Moderado,10,Peligro locativo / Desorden
INC-0264,2024-11-03,Mantenimiento,Accidente de Trabajo,Leve,1,Fatiga / Factor humano
INC-0098,2024-11-06,Mantenimiento,Accidente de Trabajo,Leve,1,Acto inseguro (No uso de EPP)
INC-0028,2024-11-14,Operaciones/Planta,Accidente de Trabajo,Leve,2,Condición insegura (Herramienta/Equipo)
INC-0108,2024-11-15,Mantenimiento,Accidente de Trabajo,Moderado,5,Condición insegura (Herramienta/Equipo)
INC-0380,2024-11-16,Operaciones/Planta,Enfermedad Laboral,Moderado,10,Acto inseguro (No uso de EPP)
INC-0409,2024-11-16,Mantenimiento,Accidente de Trabajo,Moderado,7,Fatiga / Factor humano
INC-0209,2024-11-18,Operaciones/Planta,Accidente de Trabajo,Leve,2,Peligro locativo / Desorden
INC-0073,2024-11-21,Logística/Bodega,Casi Accidente (Near Miss),N/A,0,Condición insegura (Herramienta/Equipo)
INC-0067,2024-11-27,Operaciones/Planta,Accidente de Trabajo,Leve,2,Condición insegura (Herramienta/Equipo)
INC-0234,2024-11-28,Mantenimiento,Casi Accidente (Near Miss),N/A,0,Falta de procedimiento/Capacitación
INC-0242,2024-11-30,Operaciones/Planta,Incapacidad Común,Moderado,13,Falta de procedimiento/Capacitación
INC-0363,2024-12-03,Mantenimiento,Accidente de Trabajo,Leve,2,Peligro locativo / Desorden
INC-0387,2024-12-03,Operaciones/Planta,Accidente de Trabajo,Moderado,8,Fatiga / Factor humano
INC-0012,2024-12-03,Logística/Bodega,Accidente de Trabajo,Moderado,11,Acto inseguro (No uso de EPP)
INC-0027,2024-12-10,Mantenimiento,Accidente de Trabajo,Moderado,13,Peligro locativo / Desorden
INC-0107,2024-12-14,Logística/Bodega,Accidente de Trabajo,Leve,3,Condición insegura (Herramienta/Equipo)
INC-0129,2024-12-14,Mantenimiento,Incapacidad Común,Leve,1,Acto inseguro (No uso de EPP)
INC-0314,2024-12-15,Operaciones/Planta,Accidente de Trabajo,Leve,2,Peligro locativo / Desorden
INC-0125,2024-12-19,Mantenimiento,Incapacidad Común,Moderado,11,Acto inseguro (No uso de EPP)
INC-0410,2024-12-25,Operaciones/Planta,Accidente de Trabajo,Leve,3,Fatiga / Factor humano
INC-0441,2024-12-25,Operaciones/Planta,Incapacidad Común,Leve,2,Fatiga / Factor humano
INC-0149,2024-12-25,Operaciones/Planta,Accidente de Trabajo,Grave,39,Acto inseguro (No uso de EPP)
INC-0019,2024-12-26,Administración,Casi Accidente (Near Miss),N/A,0,Peligro locativo / Desorden
INC-0321,2024-12-26,Mantenimiento,Casi Accidente (Near Miss),N/A,0,Acto inseguro (No uso de EPP)
INC-0334,2024-12-27,Operaciones/Planta,Accidente de Trabajo,Moderado,7,Falta de procedimiento/Capacitación
INC-0258,2025-01-03,Operaciones/Planta,Accidente de Trabajo,Leve,1,Fatiga / Factor humano
INC-0408,2025-01-12,Comercial/Campo,Incapacidad Común,Leve,1,Condición insegura (Herramienta/Equipo)
INC-0198,2025-01-13,Mantenimiento,Casi Accidente (Near Miss),N/A,0,Peligro locativo / Desorden
INC-0186,2025-01-15,Logística/Bodega,Accidente de Trabajo,Moderado,8,Fatiga / Factor humano
INC-0133,2025-01-17,Operaciones/Planta,Accidente de Trabajo,Moderado,5,Fatiga / Factor humano
INC-0217,2025-01-17,Mantenimiento,Incapacidad Común,Moderado,12,Condición insegura (Herramienta/Equipo)
INC-0127,2025-01-19,Logística/Bodega,Accidente de Trabajo,Leve,3,Acto inseguro (No uso de EPP)
INC-0199,2025-01-20,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Falta de procedimiento/Capacitación
INC-0034,2025-01-21,Logística/Bodega,Accidente de Trabajo,Leve,1,Falta de procedimiento/Capacitación
INC-0280,2025-01-24,Mantenimiento,Incapacidad Común,Leve,2,Fatiga / Factor humano
INC-0276,2025-01-24,Logística/Bodega,Accidente de Trabajo,Moderado,4,Condición insegura (Herramienta/Equipo)
INC-0181,2025-01-30,Logística/Bodega,Accidente de Trabajo,Leve,2,Condición insegura (Herramienta/Equipo)
INC-0094,2025-02-02,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Fatiga / Factor humano
INC-0377,2025-02-08,Mantenimiento,Casi Accidente (Near Miss),N/A,0,Fatiga / Factor humano
INC-0106,2025-02-09,Mantenimiento,Casi Accidente (Near Miss),N/A,0,Peligro locativo / Desorden
INC-0060,2025-02-12,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Falta de procedimiento/Capacitación
INC-0432,2025-02-13,Mantenimiento,Accidente de Trabajo,Leve,2,Falta de procedimiento/Capacitación
INC-0368,2025-02-14,Administración,Casi Accidente (Near Miss),N/A,0,Condición insegura (Herramienta/Equipo)
INC-0009,2025-02-15,Operaciones/Planta,Accidente de Trabajo,Leve,3,Fatiga / Factor humano
INC-0166,2025-02-17,Mantenimiento,Accidente de Trabajo,Leve,2,Peligro locativo / Desorden
INC-0357,2025-02-23,Operaciones/Planta,Accidente de Trabajo,Moderado,9,Peligro locativo / Desorden
INC-0053,2025-02-23,Logística/Bodega,Accidente de Trabajo,Leve,2,Peligro locativo / Desorden
INC-0066,2025-02-28,Logística/Bodega,Accidente de Trabajo,Leve,1,Acto inseguro (No uso de EPP)
INC-0014,2025-03-02,Operaciones/Planta,Accidente de Trabajo,Leve,1,Fatiga / Factor humano
INC-0254,2025-03-03,Logística/Bodega,Casi Accidente (Near Miss),N/A,0,Fatiga / Factor humano
INC-0347,2025-03-03,Mantenimiento,Accidente de Trabajo,Moderado,9,Condición insegura (Herramienta/Equipo)
INC-0123,2025-03-04,Logística/Bodega,Casi Accidente (Near Miss),N/A,0,Falta de procedimiento/Capacitación
INC-0116,2025-03-07,Operaciones/Planta,Incapacidad Común,Moderado,7,Acto inseguro (No uso de EPP)
INC-0114,2025-03-08,Mantenimiento,Accidente de Trabajo,Leve,2,Acto inseguro (No uso de EPP)
INC-0265,2025-03-11,Administración,Accidente de Trabajo,Leve,2,Peligro locativo / Desorden
INC-0070,2025-03-12,Operaciones/Planta,Accidente de Trabajo,Leve,1,Falta de procedimiento/Capacitación
INC-0212,2025-03-15,Mantenimiento,Accidente de Trabajo,Leve,1,Fatiga / Factor humano
INC-0093,2025-03-25,Administración,Casi Accidente (Near Miss),N/A,0,Falta de procedimiento/Capacitación
INC-0040,2025-03-26,Logística/Bodega,Incapacidad Común,Moderado,14,Condición insegura (Herramienta/Equipo)
INC-0306,2025-04-01,Mantenimiento,Accidente de Trabajo,Leve,3,Condición insegura (Herramienta/Equipo)
INC-0395,2025-04-01,Logística/Bodega,Accidente de Trabajo,Leve,1,Fatiga / Factor humano
INC-0136,2025-04-02,Logística/Bodega,Accidente de Trabajo,Grave,45,Peligro locativo / Desorden
INC-0061,2025-04-02,Operaciones/Planta,Accidente de Trabajo,Leve,2,Acto inseguro (No uso de EPP)
INC-0092,2025-04-03,Mantenimiento,Accidente de Trabajo,Leve,1,Acto inseguro (No uso de EPP)
INC-0332,2025-04-07,Operaciones/Planta,Incapacidad Común,Moderado,11,Falta de procedimiento/Capacitación
INC-0124,2025-04-10,Operaciones/Planta,Accidente de Trabajo,Moderado,4,Fatiga / Factor humano
INC-0178,2025-04-10,Operaciones/Planta,Accidente de Trabajo,Leve,2,Falta de procedimiento/Capacitación
INC-0401,2025-04-10,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Falta de procedimiento/Capacitación
INC-0007,2025-04-11,Mantenimiento,Incapacidad Común,Leve,2,Peligro locativo / Desorden
INC-0056,2025-04-13,Mantenimiento,Casi Accidente (Near Miss),N/A,0,Falta de procedimiento/Capacitación
INC-0404,2025-04-16,Operaciones/Planta,Accidente de Trabajo,Leve,3,Acto inseguro (No uso de EPP)
INC-0283,2025-04-16,Operaciones/Planta,Accidente de Trabajo,Leve,2,Fatiga / Factor humano
INC-0058,2025-04-17,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Peligro locativo / Desorden
INC-0412,2025-04-20,Mantenimiento,Accidente de Trabajo,Moderado,14,Fatiga / Factor humano
INC-0309,2025-04-21,Logística/Bodega,Casi Accidente (Near Miss),N/A,0,Peligro locativo / Desorden
INC-0421,2025-04-21,Operaciones/Planta,Incapacidad Común,Moderado,5,Condición insegura (Herramienta/Equipo)
INC-0251,2025-04-28,Comercial/Campo,Accidente de Trabajo,Grave,30,Peligro locativo / Desorden
INC-0072,2025-05-01,Mantenimiento,Accidente de Trabajo,Leve,1,Fatiga / Factor humano
INC-0188,2025-05-03,Logística/Bodega,Accidente de Trabajo,Moderado,4,Falta de procedimiento/Capacitación
INC-0001,2025-05-10,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Peligro locativo / Desorden
INC-0277,2025-05-11,Comercial/Campo,Accidente de Trabajo,Moderado,7,Fatiga / Factor humano
INC-0036,2025-05-13,Operaciones/Planta,Incapacidad Común,Moderado,14,Acto inseguro (No uso de EPP)
INC-0022,2025-05-13,Mantenimiento,Accidente de Trabajo,Grave,37,Fatiga / Factor humano
INC-0157,2025-05-14,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Fatiga / Factor humano
INC-0279,2025-05-15,Mantenimiento,Incapacidad Común,Moderado,10,Acto inseguro (No uso de EPP)
INC-0252,2025-05-18,Mantenimiento,Accidente de Trabajo,Leve,3,Condición insegura (Herramienta/Equipo)
INC-0148,2025-05-22,Logística/Bodega,Casi Accidente (Near Miss),N/A,0,Falta de procedimiento/Capacitación
INC-0271,2025-05-23,Mantenimiento,Casi Accidente (Near Miss),N/A,0,Fatiga / Factor humano
INC-0171,2025-05-25,Comercial/Campo,Accidente de Trabajo,Leve,2,Condición insegura (Herramienta/Equipo)
INC-0042,2025-05-27,Mantenimiento,Casi Accidente (Near Miss),N/A,0,Peligro locativo / Desorden
INC-0047,2025-05-28,Mantenimiento,Accidente de Trabajo,Leve,3,Peligro locativo / Desorden
INC-0138,2025-05-30,Mantenimiento,Casi Accidente (Near Miss),N/A,0,Condición insegura (Herramienta/Equipo)
INC-0223,2025-06-03,Logística/Bodega,Accidente de Trabajo,Leve,2,Falta de procedimiento/Capacitación
INC-0164,2025-06-06,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Condición insegura (Herramienta/Equipo)
INC-0285,2025-06-09,Operaciones/Planta,Accidente de Trabajo,Moderado,4,Falta de procedimiento/Capacitación
INC-0214,2025-06-12,Mantenimiento,Casi Accidente (Near Miss),N/A,0,Acto inseguro (No uso de EPP)
INC-0065,2025-06-15,Comercial/Campo,Casi Accidente (Near Miss),N/A,0,Peligro locativo / Desorden
INC-0361,2025-06-19,Operaciones/Planta,Accidente de Trabajo,Moderado,8,Acto inseguro (No uso de EPP)
INC-0349,2025-06-20,Operaciones/Planta,Accidente de Trabajo,Leve,1,Peligro locativo / Desorden
INC-0195,2025-06-24,Comercial/Campo,Accidente de Trabajo,Moderado,5,Fatiga / Factor humano
INC-0101,2025-06-27,Comercial/Campo,Incapacidad Común,Leve,1,Acto inseguro (No uso de EPP)
INC-0145,2025-06-29,Mantenimiento,Accidente de Trabajo,Moderado,5,Condición insegura (Herramienta/Equipo)
INC-0232,2025-07-02,Operaciones/Planta,Accidente de Trabajo,Moderado,4,Peligro locativo / Desorden
INC-0275,2025-07-02,Logística/Bodega,Accidente de Trabajo,Leve,2,Condición insegura (Herramienta/Equipo)
INC-0112,2025-07-07,Logística/Bodega,Casi Accidente (Near Miss),N/A,0,Acto inseguro (No uso de EPP)
INC-0054,2025-07-09,Mantenimiento,Accidente de Trabajo,Moderado,7,Condición insegura (Herramienta/Equipo)
INC-0327,2025-07-09,Comercial/Campo,Accidente de Trabajo,Moderado,13,Peligro locativo / Desorden
INC-0433,2025-07-17,Mantenimiento,Accidente de Trabajo,Moderado,14,Peligro locativo / Desorden
INC-0100,2025-07-17,Mantenimiento,Casi Accidente (Near Miss),N/A,0,Peligro locativo / Desorden
INC-0445,2025-07-19,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Acto inseguro (No uso de EPP)
INC-0187,2025-07-22,Logística/Bodega,Accidente de Trabajo,Leve,2,Peligro locativo / Desorden
INC-0224,2025-07-25,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Peligro locativo / Desorden
INC-0282,2025-07-28,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Peligro locativo / Desorden
INC-0375,2025-08-03,Operaciones/Planta,Accidente de Trabajo,Moderado,12,Fatiga / Factor humano
INC-0087,2025-08-03,Administración,Accidente de Trabajo,Leve,3,Peligro locativo / Desorden
INC-0247,2025-08-05,Logística/Bodega,Accidente de Trabajo,Moderado,6,Falta de procedimiento/Capacitación
INC-0220,2025-08-06,Comercial/Campo,Accidente de Trabajo,Leve,3,Condición insegura (Herramienta/Equipo)
INC-0030,2025-08-09,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Acto inseguro (No uso de EPP)
INC-0086,2025-08-11,Mantenimiento,Accidente de Trabajo,Leve,1,Peligro locativo / Desorden
INC-0278,2025-08-13,Operaciones/Planta,Incapacidad Común,Leve,1,Condición insegura (Herramienta/Equipo)
INC-0369,2025-08-13,Mantenimiento,Incapacidad Común,Moderado,4,Peligro locativo / Desorden
INC-0004,2025-08-13,Operaciones/Planta,Accidente de Trabajo,Leve,1,Peligro locativo / Desorden
INC-0200,2025-08-15,Comercial/Campo,Accidente de Trabajo,Moderado,8,Condición insegura (Herramienta/Equipo)
INC-0257,2025-08-17,Operaciones/Planta,Incapacidad Común,Moderado,12,Acto inseguro (No uso de EPP)
INC-0315,2025-08-21,Operaciones/Planta,Accidente de Trabajo,Grave,42,Falta de procedimiento/Capacitación
INC-0447,2025-08-25,Operaciones/Planta,Accidente de Trabajo,Moderado,12,Falta de procedimiento/Capacitación
INC-0168,2025-08-26,Logística/Bodega,Accidente de Trabajo,Leve,1,Condición insegura (Herramienta/Equipo)
INC-0076,2025-08-27,Operaciones/Planta,Incapacidad Común,Leve,2,Condición insegura (Herramienta/Equipo)
INC-0304,2025-08-28,Administración,Accidente de Trabajo,Moderado,9,Fatiga / Factor humano
INC-0402,2025-08-28,Logística/Bodega,Accidente de Trabajo,Leve,3,Condición insegura (Herramienta/Equipo)
INC-0079,2025-09-04,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Peligro locativo / Desorden
INC-0337,2025-09-06,Mantenimiento,Accidente de Trabajo,Grave,19,Fatiga / Factor humano
INC-0208,2025-09-07,Mantenimiento,Accidente de Trabajo,Moderado,6,Peligro locativo / Desorden
INC-0213,2025-09-08,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Peligro locativo / Desorden
INC-0355,2025-09-09,Operaciones/Planta,Accidente de Trabajo,Moderado,6,Condición insegura (Herramienta/Equipo)
INC-0167,2025-09-09,Comercial/Campo,Incapacidad Común,Leve,1,Falta de procedimiento/Capacitación
INC-0416,2025-09-10,Operaciones/Planta,Accidente de Trabajo,Moderado,12,Peligro locativo / Desorden
INC-0117,2025-09-10,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Acto inseguro (No uso de EPP)
INC-0115,2025-09-10,Comercial/Campo,Accidente de Trabajo,Moderado,8,Acto inseguro (No uso de EPP)
INC-0322,2025-09-10,Mantenimiento,Incapacidad Común,Leve,1,Condición insegura (Herramienta/Equipo)
INC-0244,2025-09-15,Logística/Bodega,Accidente de Trabajo,Leve,3,Fatiga / Factor humano
INC-0351,2025-09-15,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Peligro locativo / Desorden
INC-0374,2025-09-18,Mantenimiento,Incapacidad Común,Grave,29,Condición insegura (Herramienta/Equipo)
INC-0059,2025-09-19,Logística/Bodega,Accidente de Trabajo,Moderado,7,Fatiga / Factor humano
INC-0324,2025-09-19,Mantenimiento,Accidente de Trabajo,Moderado,5,Condición insegura (Herramienta/Equipo)
INC-0163,2025-09-19,Operaciones/Planta,Incapacidad Común,Leve,1,Fatiga / Factor humano
INC-0243,2025-09-20,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Peligro locativo / Desorden
INC-0211,2025-09-21,Mantenimiento,Casi Accidente (Near Miss),N/A,0,Falta de procedimiento/Capacitación
INC-0193,2025-09-24,Logística/Bodega,Accidente de Trabajo,Leve,3,Acto inseguro (No uso de EPP)
INC-0313,2025-10-01,Logística/Bodega,Accidente de Trabajo,Moderado,12,Peligro locativo / Desorden
INC-0152,2025-10-03,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Falta de procedimiento/Capacitación
INC-0177,2025-10-06,Mantenimiento,Accidente de Trabajo,Leve,3,Acto inseguro (No uso de EPP)
INC-0068,2025-10-08,Operaciones/Planta,Accidente de Trabajo,Leve,3,Acto inseguro (No uso de EPP)
INC-0025,2025-10-09,Administración,Incapacidad Común,Leve,2,Fatiga / Factor humano
INC-0340,2025-10-09,Logística/Bodega,Casi Accidente (Near Miss),N/A,0,Acto inseguro (No uso de EPP)
INC-0071,2025-10-12,Logística/Bodega,Accidente de Trabajo,Leve,3,Acto inseguro (No uso de EPP)
INC-0103,2025-10-12,Operaciones/Planta,Incapacidad Común,Leve,2,Condición insegura (Herramienta/Equipo)
INC-0013,2025-10-13,Comercial/Campo,Incapacidad Común,Leve,1,Peligro locativo / Desorden
INC-0259,2025-10-13,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Peligro locativo / Desorden
INC-0196,2025-10-16,Comercial/Campo,Accidente de Trabajo,Moderado,13,Peligro locativo / Desorden
INC-0155,2025-10-17,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Fatiga / Factor humano
INC-0011,2025-10-18,Mantenimiento,Casi Accidente (Near Miss),N/A,0,Peligro locativo / Desorden
INC-0301,2025-10-21,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Peligro locativo / Desorden
INC-0121,2025-10-25,Operaciones/Planta,Accidente de Trabajo,Leve,1,Peligro locativo / Desorden
INC-0180,2025-10-28,Operaciones/Planta,Accidente de Trabajo,Leve,2,Falta de procedimiento/Capacitación
INC-0297,2025-10-28,Comercial/Campo,Accidente de Trabajo,Leve,1,Peligro locativo / Desorden
INC-0390,2025-10-30,Logística/Bodega,Incapacidad Común,Leve,1,Falta de procedimiento/Capacitación
INC-0350,2025-11-01,Comercial/Campo,Accidente de Trabajo,Grave,34,Peligro locativo / Desorden
INC-0294,2025-11-01,Operaciones/Planta,Enfermedad Laboral,Leve,2,Falta de procedimiento/Capacitación
INC-0128,2025-11-04,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Fatiga / Factor humano
INC-0292,2025-11-09,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Falta de procedimiento/Capacitación
INC-0396,2025-11-09,Mantenimiento,Incapacidad Común,Moderado,11,Peligro locativo / Desorden
INC-0394,2025-11-09,Logística/Bodega,Accidente de Trabajo,Leve,1,Acto inseguro (No uso de EPP)
INC-0151,2025-11-12,Mantenimiento,Casi Accidente (Near Miss),N/A,0,Condición insegura (Herramienta/Equipo)
INC-0239,2025-11-20,Logística/Bodega,Accidente de Trabajo,Leve,3,Falta de procedimiento/Capacitación
INC-0216,2025-11-28,Operaciones/Planta,Accidente de Trabajo,Leve,1,Condición insegura (Herramienta/Equipo)
INC-0318,2025-11-28,Mantenimiento,Casi Accidente (Near Miss),N/A,0,Condición insegura (Herramienta/Equipo)
INC-0153,2025-11-28,Operaciones/Planta,Incapacidad Común,Leve,3,Falta de procedimiento/Capacitación
INC-0233,2025-11-29,Administración,Casi Accidente (Near Miss),N/A,0,Falta de procedimiento/Capacitación
INC-0150,2025-12-01,Operaciones/Planta,Incapacidad Común,Moderado,4,Falta de procedimiento/Capacitación
INC-0074,2025-12-02,Operaciones/Planta,Accidente de Trabajo,Leve,2,Acto inseguro (No uso de EPP)
INC-0427,2025-12-03,Mantenimiento,Casi Accidente (Near Miss),N/A,0,Fatiga / Factor humano
INC-0204,2025-12-03,Logística/Bodega,Enfermedad Laboral,Grave,26,Condición insegura (Herramienta/Equipo)
INC-0241,2025-12-05,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Acto inseguro (No uso de EPP)
INC-0048,2025-12-08,Operaciones/Planta,Enfermedad Laboral,Leve,2,Peligro locativo / Desorden
INC-0173,2025-12-08,Operaciones/Planta,Enfermedad Laboral,Leve,2,Condición insegura (Herramienta/Equipo)
INC-0032,2025-12-12,Mantenimiento,Enfermedad Laboral,Leve,3,Fatiga / Factor humano
INC-0111,2025-12-13,Comercial/Campo,Accidente de Trabajo,Leve,3,Falta de procedimiento/Capacitación
INC-0222,2025-12-21,Mantenimiento,Accidente de Trabajo,Leve,1,Fatiga / Factor humano
INC-0358,2025-12-22,Logística/Bodega,Accidente de Trabajo,Leve,3,Peligro locativo / Desorden
INC-0016,2025-12-22,Logística/Bodega,Casi Accidente (Near Miss),N/A,0,Falta de procedimiento/Capacitación
INC-0446,2025-12-25,Operaciones/Planta,Accidente de Trabajo,Moderado,4,Condición insegura (Herramienta/Equipo)
INC-0302,2025-12-28,Mantenimiento,Accidente de Trabajo,Grave,20,Acto inseguro (No uso de EPP)
